ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",3426,"Long Beach, CA","16000US0643000","long-beach-ca",129716,0.28072134539182525
0,"White Alone",1,"Hispanic or Latino",2020,"2020",3949.9999999999995,"Long Beach, CA","16000US0643000","long-beach-ca",98447,0.21305139142271592
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",2445,"Long Beach, CA","16000US0643000","long-beach-ca",55873,0.12091602987355031
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",557,"Long Beach, CA","16000US0643000","long-beach-ca",2365,0.005118150281011338
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2020,"2020",351,"Long Beach, CA","16000US0643000","long-beach-ca",1159,0.0025082182561066133
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2020,"2020",593,"Long Beach, CA","16000US0643000","long-beach-ca",2500,0.005410306850963359
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",2514,"Long Beach, CA","16000US0643000","long-beach-ca",57731,0.12493696992518628
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",430.00000000000006,"Long Beach, CA","16000US0643000","long-beach-ca",1539,0.003330584897453044
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",500,"Long Beach, CA","16000US0643000","long-beach-ca",2534,0.005483887024136461
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",112,"Long Beach, CA","16000US0643000","long-beach-ca",176,0.0003808856023078205
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",439.99999999999994,"Long Beach, CA","16000US0643000","long-beach-ca",1364,0.002951863417885609
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",3209,"Long Beach, CA","16000US0643000","long-beach-ca",77963,0.16872150120866256
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",1201.4932376006118,"Long Beach, CA","16000US0643000","long-beach-ca",13901,0.03008347021409666
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",2285.467567041808,"Long Beach, CA","16000US0643000","long-beach-ca",16813,0.03638539563409878
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",2337,"Long Beach, CA","16000US0643000","long-beach-ca",131457,0.2816275901074605
0,"White Alone",1,"Hispanic or Latino",2019,"2019",3605.9999999999995,"Long Beach, CA","16000US0643000","long-beach-ca",107653,0.23063096645928668
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",1901.9999999999998,"Long Beach, CA","16000US0643000","long-beach-ca",56990,0.12209282396695631
